Call Failure,Complains,Subscription Length,Charge Amount,Seconds of Use,Frequency of use,Frequency of SMS,Distinct Called Numbers,Churn
0.0,0.0,36.0,0,2333.0,55.0,0.0,,0
8.0,0.0,36.0,0,3715.0,79.0,,26.0,0
,0.0,36.0,0,,36.0,280.0,16.0,0
10.0,0.0,35.0,1,,118.0,,41.0,0
4.0,0.0,36.0,0,13713.0,166.0,0.0,42.0,0
4.0,0.0,36.0,0,,80.0,0.0,23.0,0
3.0,0.0,36.0,0,,92.0,2.0,,0
,1.0,36.0,0,2178.0,51.0,3.0,15.0,0
,,36.0,2,15080.0,222.0,49.0,,0
1.0,0.0,36.0,0,,,478.0,6.0,0
6.0,0.0,35.0,0,15425.0,,145.0,28.0,0
0.0,,35.0,0,6440.0,83.0,181.0,24.0,0
0.0,0.0,35.0,0,815.0,11.0,0.0,,0
0.0,0.0,36.0,0,650.0,11.0,8.0,6.0,0
0.0,0.0,35.0,0,0.0,0.0,,0.0,1
,,35.0,0,7448.0,124.0,,41.0,0
4.0,,35.0,0,11405.0,151.0,6.0,45.0,0
,0.0,35.0,0,6658.0,72.0,103.0,35.0,0
,,31.0,0,895.0,44.0,11.0,15.0,1
18.0,,34.0,7,10375.0,90.0,,40.0,0
10.0,0.0,34.0,0,5758.0,95.0,21.0,22.0,1
0.0,,32.0,0,2780.0,19.0,0.0,12.0,0
,0.0,33.0,0,,38.0,4.0,14.0,1
,1.0,34.0,0,2208.0,41.0,29.0,29.0,1
,1.0,34.0,0,0.0,0.0,0.0,0.0,1
,0.0,34.0,0,1608.0,22.0,,4.0,0
0.0,0.0,31.0,0,6725.0,94.0,9.0,20.0,0
0.0,0.0,34.0,0,568.0,4.0,4.0,2.0,1
,0.0,34.0,0,0.0,,0.0,0.0,0
22.0,0.0,29.0,2,16015.0,,0.0,78.0,0
3.0,0.0,32.0,2,6905.0,113.0,,,0
0.0,,,0,3658.0,79.0,,26.0,0
0.0,0.0,33.0,0,,41.0,33.0,18.0,0
3.0,0.0,34.0,0,2720.0,50.0,170.0,21.0,0
,0.0,25.0,0,1255.0,33.0,188.0,9.0,0
1.0,0.0,24.0,0,,36.0,25.0,66.0,0
8.0,0.0,25.0,0,,22.0,5.0,5.0,0
,1.0,,0,765.0,7.0,16.0,,1
,0.0,23.0,0,1165.0,29.0,14.0,11.0,0
0.0,0.0,23.0,0,3165.0,58.0,3.0,,0
0.0,0.0,16.0,0,,23.0,23.0,12.0,0
13.0,0.0,15.0,0,,138.0,80.0,40.0,0
9.0,0.0,13.0,0,8873.0,168.0,,38.0,0
,,,2,,42.0,26.0,17.0,0
0.0,0.0,7.0,0,4330.0,37.0,210.0,8.0,0
0.0,0.0,,0,1428.0,16.0,0.0,5.0,1
9.0,0.0,42.0,1,,73.0,15.0,21.0,0
1.0,1.0,,0,,,17.0,8.0,1
11.0,0.0,41.0,1,2533.0,62.0,369.0,28.0,0
,0.0,42.0,1,4278.0,,11.0,39.0,0
4.0,0.0,42.0,1,2473.0,60.0,12.0,37.0,0
12.0,0.0,42.0,2,3855.0,84.0,,,0
5.0,0.0,42.0,1,2440.0,41.0,295.0,,0
14.0,0.0,41.0,3,9195.0,123.0,154.0,47.0,0
8.0,0.0,42.0,1,13853.0,171.0,10.0,48.0,0
8.0,0.0,42.0,2,4595.0,85.0,12.0,29.0,0
7.0,0.0,,1,5998.0,97.0,17.0,16.0,0
10.0,0.0,42.0,0,,56.0,18.0,21.0,0
26.0,,42.0,4,,,64.0,36.0,0
5.0,0.0,42.0,2,3175.0,29.0,493.0,,0
,0.0,41.0,1,15565.0,184.0,160.0,34.0,0
,0.0,41.0,2,6580.0,88.0,196.0,30.0,0
1.0,0.0,41.0,0,955.0,16.0,10.0,15.0,0
3.0,0.0,42.0,0,790.0,16.0,23.0,12.0,0
1.0,0.0,41.0,0,80.0,2.0,10.0,4.0,1
4.0,0.0,41.0,1,7588.0,129.0,394.0,47.0,0
,,41.0,2,11545.0,156.0,21.0,51.0,0
9.0,0.0,41.0,2,6798.0,77.0,,41.0,0
24.0,1.0,,0,1035.0,49.0,26.0,21.0,1
22.0,,40.0,9,10515.0,95.0,11.0,46.0,0
14.0,0.0,40.0,2,5898.0,100.0,36.0,,1
2.0,,38.0,1,2920.0,24.0,10.0,,0
10.0,0.0,39.0,0,3070.0,43.0,,20.0,1
10.0,1.0,40.0,0,2348.0,,44.0,35.0,1
1.0,0.0,40.0,0,213.0,,10.0,6.0,1
2.0,0.0,40.0,1,1748.0,27.0,10.0,10.0,0
4.0,,37.0,2,6865.0,,24.0,26.0,0
1.0,1.0,40.0,0,708.0,9.0,19.0,8.0,1
1.0,0.0,40.0,2,418.0,,,6.0,0
26.0,0.0,35.0,4,16155.0,,10.0,84.0,0
7.0,1.0,38.0,4,7045.0,,,,0
3.0,0.0,40.0,1,3798.0,84.0,12.0,,0
,0.0,39.0,0,1745.0,46.0,,24.0,0
7.0,0.0,40.0,1,2860.0,55.0,185.0,27.0,0
,,,2,1395.0,38.0,203.0,,0
5.0,0.0,30.0,1,1648.0,41.0,40.0,,0
12.0,0.0,31.0,0,780.0,27.0,,11.0,0
,0.0,30.0,0,905.0,12.0,31.0,,0
11.0,0.0,29.0,1,1305.0,34.0,29.0,17.0,0
3.0,,29.0,1,3305.0,63.0,18.0,,0
3.0,0.0,22.0,1,1775.0,,,,0
17.0,,21.0,2,6473.0,143.0,95.0,,0
13.0,0.0,19.0,1,,,83.0,44.0,0
9.0,0.0,20.0,4,2933.0,47.0,41.0,23.0,0
3.0,0.0,13.0,2,4470.0,,225.0,14.0,0
4.0,0.0,13.0,2,1568.0,21.0,10.0,11.0,1
7.0,,,0,4290.0,69.0,0.0,13.0,0
,0.0,35.0,0,,0.0,0.0,0.0,0
9.0,0.0,,0,2373.0,58.0,349.0,20.0,0
,0.0,34.0,0,4118.0,64.0,0.0,31.0,0
2.0,0.0,34.0,0,,56.0,,29.0,0
10.0,0.0,34.0,0,,80.0,22.0,24.0,0
3.0,0.0,,0,2280.0,37.0,275.0,14.0,0
12.0,0.0,33.0,1,9035.0,119.0,134.0,,0
6.0,0.0,34.0,0,13693.0,167.0,0.0,40.0,0
6.0,,34.0,0,4435.0,81.0,0.0,,0
,,,0,,,,8.0,0
8.0,0.0,34.0,0,2158.0,52.0,,13.0,0
24.0,0.0,34.0,2,,223.0,,,0
3.0,0.0,34.0,0,3015.0,,473.0,4.0,0
8.0,0.0,33.0,0,15405.0,180.0,140.0,26.0,0
2.0,0.0,33.0,0,6420.0,,,22.0,0
0.0,0.0,33.0,0,795.0,,0.0,7.0,0
1.0,0.0,34.0,0,630.0,12.0,3.0,4.0,0
0.0,0.0,33.0,0,0.0,0.0,0.0,0.0,1
2.0,0.0,,0,7428.0,125.0,374.0,39.0,0
6.0,0.0,,0,11385.0,,,,0
7.0,0.0,33.0,0,6638.0,73.0,98.0,33.0,0
22.0,0.0,29.0,0,875.0,,6.0,,1
20.0,0.0,32.0,7,10355.0,91.0,0.0,38.0,0
12.0,,32.0,0,,96.0,16.0,20.0,1
0.0,,30.0,0,2760.0,,0.0,,0
,,31.0,0,2910.0,,0.0,12.0,1
8.0,0.0,32.0,0,2188.0,42.0,24.0,27.0,1
0.0,1.0,32.0,0,0.0,0.0,0.0,0.0,1
0.0,0.0,32.0,0,,,,2.0,0
2.0,0.0,29.0,0,6705.0,95.0,4.0,,0
0.0,0.0,,0,0.0,0.0,0.0,0.0,1
0.0,0.0,32.0,0,0.0,,0.0,0.0,0
24.0,0.0,,2,15995.0,236.0,0.0,76.0,0
5.0,0.0,30.0,2,,,261.0,,0
1.0,0.0,32.0,0,3638.0,80.0,0.0,24.0,0
2.0,0.0,31.0,0,1585.0,42.0,28.0,,0
5.0,0.0,32.0,0,2700.0,51.0,,,0
3.0,0.0,,0,1235.0,34.0,183.0,7.0,0
3.0,0.0,22.0,0,,37.0,20.0,64.0,0
10.0,0.0,23.0,0,620.0,23.0,0.0,3.0,0
,0.0,22.0,0,0.0,,11.0,,0
9.0,0.0,21.0,0,1145.0,30.0,9.0,9.0,0
1.0,0.0,21.0,0,3145.0,59.0,0.0,,0
1.0,0.0,14.0,0,1615.0,24.0,18.0,10.0,0
,0.0,13.0,0,6313.0,139.0,75.0,38.0,0
11.0,0.0,11.0,0,8853.0,169.0,63.0,36.0,0
7.0,0.0,12.0,2,2773.0,43.0,21.0,,0
1.0,0.0,5.0,0,4310.0,38.0,205.0,6.0,0
2.0,,5.0,0,1408.0,17.0,0.0,3.0,1
,0.0,44.0,1,4630.0,81.0,20.0,23.0,0
5.0,0.0,45.0,0,,15.0,22.0,10.0,0
,,,1,2713.0,,374.0,,0
15.0,,44.0,1,4458.0,76.0,16.0,41.0,0
,0.0,44.0,1,2653.0,68.0,17.0,39.0,0
,0.0,,2,4035.0,92.0,47.0,34.0,0
9.0,0.0,44.0,1,2620.0,49.0,300.0,24.0,0
18.0,,,3,9375.0,,159.0,49.0,0
12.0,0.0,44.0,1,14033.0,179.0,15.0,50.0,0
,0.0,44.0,2,4775.0,93.0,,,0
11.0,0.0,44.0,1,6178.0,105.0,22.0,,0
14.0,,44.0,0,,64.0,23.0,23.0,0
30.0,0.0,44.0,4,15400.0,235.0,69.0,,0
9.0,0.0,44.0,2,3355.0,37.0,498.0,14.0,0
14.0,0.0,43.0,1,15745.0,,165.0,36.0,0
8.0,0.0,43.0,2,6760.0,,201.0,,0
,0.0,,0,,24.0,15.0,17.0,0
7.0,0.0,44.0,0,970.0,24.0,28.0,14.0,0
5.0,0.0,43.0,0,260.0,10.0,15.0,6.0,1
8.0,0.0,43.0,1,7768.0,137.0,399.0,49.0,0
12.0,0.0,43.0,2,,164.0,26.0,53.0,0
13.0,0.0,43.0,2,6978.0,85.0,123.0,,0
28.0,,39.0,0,1215.0,,31.0,23.0,1
26.0,,42.0,9,10695.0,103.0,,48.0,0
18.0,0.0,42.0,2,6078.0,108.0,41.0,,0
,0.0,,1,3100.0,32.0,15.0,20.0,0
,1.0,41.0,0,,51.0,24.0,22.0,1
14.0,1.0,,0,2528.0,54.0,49.0,37.0,1
5.0,0.0,42.0,0,,12.0,15.0,8.0,1
,,42.0,1,,,,12.0,0
8.0,0.0,39.0,2,7045.0,,,28.0,0
5.0,0.0,,0,888.0,,24.0,10.0,1
,0.0,42.0,2,598.0,,19.0,8.0,0
,1.0,37.0,4,16335.0,248.0,15.0,86.0,0
,1.0,40.0,4,7225.0,126.0,286.0,,0
7.0,0.0,42.0,1,3978.0,92.0,17.0,34.0,0
8.0,,,0,1925.0,54.0,53.0,26.0,0
11.0,0.0,42.0,1,3040.0,63.0,,29.0,0
9.0,0.0,,2,1575.0,46.0,208.0,17.0,0
9.0,0.0,32.0,1,1828.0,49.0,45.0,74.0,0
16.0,0.0,33.0,0,960.0,35.0,25.0,13.0,0
5.0,,,0,,20.0,36.0,9.0,0
15.0,0.0,31.0,1,1485.0,42.0,34.0,19.0,0
7.0,0.0,31.0,1,3485.0,71.0,,29.0,0
,0.0,24.0,1,1955.0,36.0,43.0,20.0,0
21.0,0.0,,2,6653.0,151.0,100.0,,0
17.0,0.0,21.0,1,9193.0,181.0,88.0,46.0,0
13.0,0.0,,4,3113.0,55.0,46.0,25.0,0
7.0,0.0,15.0,2,4650.0,50.0,230.0,,0
8.0,,15.0,2,,29.0,15.0,,1
,0.0,32.0,0,4110.0,61.0,0.0,11.0,0
0.0,0.0,33.0,0,0.0,0.0,,0.0,0
5.0,0.0,31.0,0,2193.0,50.0,344.0,18.0,0
5.0,,32.0,0,,56.0,0.0,29.0,0
0.0,0.0,32.0,0,2133.0,,0.0,27.0,0
6.0,0.0,32.0,0,3515.0,72.0,17.0,22.0,0
,0.0,32.0,0,2100.0,,270.0,12.0,0
8.0,0.0,31.0,1,8855.0,,129.0,37.0,0
2.0,,32.0,0,13513.0,159.0,0.0,38.0,0
,0.0,32.0,0,4255.0,73.0,0.0,19.0,0
1.0,0.0,32.0,0,5658.0,85.0,0.0,6.0,0
4.0,0.0,32.0,0,,44.0,0.0,11.0,0
20.0,,32.0,2,14880.0,215.0,39.0,26.0,0
0.0,0.0,32.0,0,,17.0,468.0,,0
4.0,0.0,31.0,0,15225.0,172.0,,24.0,0
0.0,0.0,31.0,0,6240.0,76.0,171.0,,0
0.0,0.0,,0,615.0,4.0,0.0,5.0,0
0.0,,32.0,0,450.0,4.0,0.0,,0
,0.0,31.0,0,,0.0,,0.0,1
0.0,0.0,31.0,0,7248.0,,369.0,37.0,0
,0.0,31.0,0,,,,41.0,0
3.0,0.0,,0,6458.0,65.0,93.0,31.0,0
18.0,1.0,27.0,0,695.0,37.0,1.0,11.0,1
16.0,0.0,30.0,7,10175.0,,0.0,36.0,0
8.0,1.0,30.0,0,5558.0,88.0,11.0,18.0,1
0.0,0.0,28.0,0,,12.0,0.0,8.0,0
4.0,,29.0,0,2730.0,31.0,,10.0,1
4.0,1.0,30.0,0,2008.0,34.0,19.0,25.0,1
0.0,,30.0,0,0.0,0.0,,0.0,1
0.0,0.0,,0,0.0,0.0,0.0,0.0,0
0.0,0.0,,0,6525.0,87.0,0.0,16.0,0
0.0,1.0,30.0,0,0.0,0.0,0.0,0.0,1
,1.0,30.0,0,,0.0,0.0,0.0,1
20.0,0.0,25.0,2,15815.0,228.0,0.0,74.0,0
1.0,,28.0,2,6705.0,,256.0,,0
0.0,0.0,30.0,0,3458.0,72.0,0.0,,0
0.0,0.0,29.0,0,1405.0,34.0,,,0
1.0,0.0,30.0,0,2520.0,43.0,160.0,17.0,0
,,21.0,0,1055.0,26.0,178.0,5.0,0
0.0,0.0,20.0,0,1308.0,,15.0,,0
6.0,0.0,21.0,0,440.0,15.0,0.0,1.0,0
0.0,0.0,20.0,0,0.0,0.0,6.0,0.0,0
,0.0,19.0,0,965.0,22.0,,7.0,0
0.0,0.0,19.0,0,2965.0,51.0,0.0,,0
0.0,0.0,,0,1435.0,16.0,13.0,,0
11.0,0.0,11.0,0,,131.0,,,0
7.0,,9.0,0,8673.0,161.0,58.0,34.0,0
3.0,0.0,10.0,2,2593.0,,16.0,13.0,0
0.0,0.0,3.0,0,4130.0,30.0,200.0,4.0,0
0.0,1.0,3.0,0,1228.0,,0.0,,1
10.0,0.0,41.0,0,4550.0,79.0,16.0,22.0,0
2.0,0.0,,0,498.0,,18.0,9.0,0
12.0,0.0,40.0,0,2633.0,68.0,,29.0,0
12.0,0.0,,0,4378.0,74.0,12.0,40.0,0
5.0,0.0,41.0,0,2573.0,,13.0,38.0,0
13.0,0.0,41.0,1,,90.0,43.0,,0
,0.0,41.0,0,2540.0,,296.0,,0
15.0,0.0,40.0,2,,129.0,155.0,48.0,0
9.0,0.0,41.0,0,13953.0,,11.0,49.0,0
9.0,0.0,41.0,1,4695.0,91.0,,,0
8.0,0.0,41.0,0,6098.0,,18.0,17.0,0
11.0,0.0,41.0,0,,62.0,19.0,22.0,0
27.0,0.0,41.0,3,15320.0,233.0,65.0,37.0,0
6.0,0.0,41.0,1,3275.0,35.0,,13.0,0
11.0,0.0,40.0,0,15665.0,190.0,161.0,35.0,0
5.0,0.0,40.0,1,6680.0,94.0,197.0,31.0,0
2.0,0.0,,0,1055.0,22.0,11.0,16.0,0
4.0,0.0,41.0,0,890.0,22.0,,13.0,0
2.0,0.0,40.0,0,180.0,8.0,11.0,,1
,0.0,40.0,0,,,395.0,48.0,0
9.0,0.0,40.0,1,11645.0,162.0,22.0,52.0,0
10.0,0.0,40.0,1,6898.0,,119.0,42.0,0
25.0,,36.0,0,,,27.0,22.0,1
23.0,0.0,39.0,8,10615.0,101.0,12.0,,0
15.0,0.0,39.0,1,5998.0,106.0,37.0,29.0,0
3.0,0.0,37.0,0,3020.0,30.0,11.0,19.0,0
11.0,1.0,38.0,0,3170.0,49.0,,21.0,1
11.0,1.0,39.0,0,2448.0,52.0,,36.0,1
2.0,,39.0,0,313.0,10.0,11.0,7.0,1
3.0,0.0,39.0,0,,33.0,11.0,11.0,0
5.0,0.0,36.0,1,6965.0,105.0,25.0,27.0,0
2.0,0.0,39.0,0,808.0,15.0,20.0,9.0,1
2.0,0.0,39.0,1,518.0,,,7.0,0
27.0,1.0,,3,,246.0,11.0,,0
8.0,0.0,37.0,3,7145.0,124.0,282.0,38.0,0
4.0,0.0,39.0,0,3898.0,90.0,13.0,33.0,0
5.0,0.0,38.0,0,1845.0,52.0,49.0,25.0,0
8.0,,39.0,0,2960.0,61.0,186.0,28.0,0
6.0,1.0,,1,1495.0,,204.0,16.0,1
6.0,0.0,29.0,0,1748.0,47.0,41.0,73.0,0
13.0,0.0,30.0,0,,33.0,21.0,12.0,0
2.0,0.0,29.0,0,1005.0,18.0,32.0,8.0,0
12.0,0.0,28.0,0,1405.0,40.0,30.0,18.0,0
4.0,0.0,28.0,0,3405.0,69.0,19.0,28.0,0
4.0,0.0,21.0,0,,,,19.0,0
18.0,0.0,20.0,1,6573.0,149.0,96.0,47.0,0
14.0,0.0,,0,9113.0,179.0,84.0,,0
10.0,,19.0,3,3033.0,53.0,42.0,24.0,0
,,,1,,48.0,,15.0,0
5.0,0.0,12.0,1,1668.0,27.0,11.0,12.0,1
,0.0,35.0,0,4190.0,63.0,0.0,12.0,0
,0.0,36.0,0,0.0,,,0.0,0
,0.0,34.0,0,2273.0,52.0,,19.0,0
,0.0,35.0,0,4018.0,58.0,,30.0,0
1.0,0.0,,0,2213.0,50.0,0.0,28.0,0
9.0,,35.0,1,3595.0,74.0,,23.0,0
2.0,,35.0,0,,,,,0
11.0,,,2,8935.0,,,38.0,0
5.0,0.0,35.0,0,13593.0,161.0,0.0,,0
5.0,,,1,4335.0,75.0,0.0,20.0,0
,,35.0,0,5738.0,,0.0,,0
,0.0,35.0,0,2058.0,46.0,0.0,12.0,0
23.0,0.0,35.0,3,,217.0,43.0,27.0,0
2.0,,35.0,1,2915.0,19.0,472.0,3.0,0
7.0,,34.0,0,15305.0,174.0,139.0,25.0,0
1.0,0.0,34.0,1,,78.0,175.0,21.0,0
0.0,0.0,,0,695.0,6.0,0.0,6.0,0
0.0,0.0,35.0,0,530.0,,,,0
0.0,1.0,34.0,0,,0.0,0.0,0.0,1
1.0,,34.0,0,,119.0,373.0,38.0,0
5.0,0.0,34.0,1,11285.0,146.0,0.0,42.0,0
6.0,0.0,34.0,1,6538.0,,97.0,32.0,0
21.0,1.0,30.0,0,775.0,,5.0,12.0,1
19.0,0.0,,8,,85.0,,37.0,0
11.0,1.0,,1,,90.0,,19.0,1
0.0,0.0,31.0,0,,14.0,,9.0,0
7.0,,32.0,0,2810.0,,0.0,11.0,1
7.0,1.0,33.0,0,2088.0,36.0,23.0,26.0,1
0.0,0.0,33.0,0,0.0,0.0,0.0,0.0,1
0.0,0.0,33.0,0,1488.0,17.0,0.0,,0
1.0,,30.0,1,6605.0,,3.0,17.0,0
,0.0,33.0,0,0.0,0.0,0.0,0.0,1
0.0,,33.0,0,0.0,0.0,0.0,0.0,0
23.0,0.0,28.0,3,15895.0,230.0,0.0,75.0,0
,0.0,31.0,3,6785.0,108.0,,28.0,0
0.0,0.0,33.0,0,3538.0,,0.0,23.0,0
1.0,0.0,32.0,0,1485.0,36.0,27.0,15.0,0
4.0,0.0,33.0,0,,45.0,164.0,,0
2.0,0.0,24.0,1,1135.0,28.0,,,0
2.0,0.0,23.0,0,1388.0,,19.0,63.0,0
9.0,0.0,24.0,0,520.0,17.0,0.0,2.0,0
0.0,0.0,,0,0.0,,10.0,0.0,0
,0.0,22.0,0,1045.0,24.0,8.0,8.0,0
,0.0,,0,3045.0,,0.0,18.0,0
0.0,0.0,15.0,0,1515.0,,17.0,9.0,0
14.0,0.0,14.0,1,6213.0,,74.0,37.0,0
10.0,0.0,12.0,0,8753.0,163.0,62.0,,0
6.0,,13.0,3,2673.0,37.0,20.0,,0
0.0,0.0,,1,4210.0,32.0,204.0,5.0,0
1.0,0.0,6.0,1,1308.0,11.0,0.0,2.0,1
12.0,0.0,38.0,2,4970.0,,26.0,,0
4.0,0.0,39.0,0,918.0,15.0,,,0
,0.0,,2,3053.0,70.0,,39.0,0
14.0,0.0,38.0,2,4798.0,76.0,22.0,50.0,0
,0.0,38.0,2,2993.0,,,48.0,0
15.0,,38.0,3,,92.0,53.0,43.0,0
8.0,,38.0,2,2960.0,49.0,,33.0,0
17.0,0.0,37.0,4,9715.0,,165.0,58.0,0
11.0,0.0,38.0,2,,179.0,21.0,59.0,0
11.0,,,3,5115.0,93.0,,40.0,0
10.0,0.0,38.0,2,,105.0,28.0,,0
13.0,0.0,38.0,0,,64.0,29.0,,0
29.0,0.0,38.0,5,15740.0,,75.0,47.0,0
8.0,0.0,,3,3695.0,37.0,504.0,23.0,0
13.0,0.0,37.0,2,16085.0,,171.0,,0
,0.0,37.0,3,7100.0,96.0,207.0,41.0,0
4.0,0.0,37.0,0,,,21.0,26.0,0
,0.0,38.0,0,1310.0,24.0,,,0
4.0,0.0,37.0,0,600.0,10.0,,15.0,1
7.0,0.0,37.0,2,8108.0,137.0,405.0,58.0,0
11.0,0.0,,3,12065.0,164.0,,62.0,0
12.0,0.0,37.0,3,7318.0,85.0,129.0,,0
27.0,1.0,33.0,0,1555.0,57.0,37.0,32.0,1
25.0,0.0,36.0,10,11035.0,,,57.0,0
17.0,0.0,36.0,3,6418.0,108.0,47.0,39.0,0
,,34.0,2,3440.0,32.0,,29.0,0
13.0,1.0,,0,3590.0,51.0,30.0,31.0,1
13.0,1.0,,0,2868.0,54.0,55.0,46.0,1
4.0,,36.0,0,733.0,12.0,21.0,17.0,1
5.0,,36.0,2,2268.0,35.0,,,0
,0.0,33.0,3,,107.0,,,0
